"";"x";"governance_index";"innovation_index";"leadership_index";"citizenship_index";"performance_index";"productsservices_index";"workplace_index"
"1";1;NA;NA;NA;NA;NA;NA;NA
"2";2;NA;NA;NA;NA;NA;NA;NA
"3";3;NA;NA;NA;4;NA;NA;NA
"4";4;NA;NA;NA;4;NA;NA;NA
"5";5;NA;NA;NA;4;NA;NA;NA
"6";6;NA;NA;NA;4;NA;NA;NA
"7";7;NA;NA;NA;4;NA;NA;NA
"8";8;NA;NA;NA;4;NA;NA;NA
"9";9;NA;NA;NA;4;NA;NA;NA
"10";10;NA;NA;NA;4;NA;NA;NA
"11";11;NA;NA;NA;4;NA;NA;NA
"12";12;NA;NA;NA;4;NA;NA;NA
"13";13;NA;NA;NA;4;3;NA;NA
"14";14;NA;NA;NA;4;3;NA;NA
"15";15;NA;NA;NA;4;3;NA;NA
"16";16;NA;NA;NA;4;3;NA;NA
"17";17;NA;NA;NA;4;3;NA;NA
"18";18;NA;NA;NA;4;3;NA;NA
"19";19;NA;NA;NA;4;3;NA;NA
"20";20;NA;NA;NA;4;3;NA;NA
"21";21;NA;NA;5;4;3;NA;NA
"22";22;NA;NA;5;3,5;3;NA;NA
"23";23;NA;NA;5;3,5;3;NA;NA
"24";24;NA;NA;5;3,5;3;NA;NA
"25";25;NA;NA;5;3,5;3;NA;NA
"26";26;NA;NA;5;3,5;3;NA;NA
"27";27;NA;NA;5;3,5;3;NA;NA
"28";28;NA;NA;5;3,5;3;NA;NA
"29";29;NA;NA;5;3,5;3;NA;NA
"30";30;NA;NA;5;3,5;3;NA;NA
"31";31;NA;NA;5;3,5;3;NA;NA
"32";32;NA;NA;5;3,5;3;NA;NA
"33";33;NA;NA;5;3,5;3;NA;NA
"34";34;NA;NA;5;3,5;3;NA;NA
"35";35;NA;NA;5;3,5;3;NA;NA
"36";36;NA;NA;5;3,5;3;NA;NA
"37";37;NA;NA;5;3,5;3;NA;NA
"38";38;NA;NA;5;3,5;3;NA;NA
"39";39;NA;NA;5;3,5;3;NA;NA
"40";40;NA;NA;5;3,33;3;NA;NA
"41";41;NA;NA;5;3,33;3;NA;NA
"42";42;NA;NA;5;3,33;3;NA;NA
"43";43;NA;NA;5;3,33;3;NA;NA
"44";44;NA;NA;5;3,33;3;NA;NA
"45";45;NA;NA;5;3,33;3;NA;NA
"46";46;NA;NA;5;3,33;3;NA;NA
"47";47;NA;NA;5;3,33;3;NA;NA
"48";48;NA;NA;5;3,33;3;NA;NA
"49";49;NA;NA;5;3,33;3;NA;NA
"50";50;NA;NA;5;3,33;3,5;NA;NA
"51";51;NA;NA;5;3,33;3,5;NA;NA
"52";52;NA;NA;5;3,33;3,5;NA;NA
"53";53;NA;NA;5;3,33;3,5;NA;NA
"54";54;NA;NA;5;3,33;3,5;NA;NA
"55";55;NA;NA;5;3,33;3,5;NA;NA
"56";56;NA;NA;5;3,33;3,5;NA;NA
"57";57;NA;NA;5;3,33;3,5;NA;NA
"58";58;NA;NA;5;3,33;3,5;NA;NA
"59";59;NA;NA;5;3,33;3,5;NA;NA
"60";60;NA;NA;5;3,33;3,5;NA;NA
"61";61;NA;NA;5;3,33;3,5;NA;NA
"62";62;NA;NA;5;3,33;3,5;NA;NA
"63";63;NA;NA;5;3,33;3,5;NA;NA
"64";64;NA;NA;5;3,33;3,5;NA;NA
"65";65;NA;NA;5;3,33;3,5;NA;NA
"66";66;NA;NA;5;3,33;3,5;NA;NA
"67";67;NA;4;5;3,33;3,5;NA;NA
"68";68;NA;4;5;3,33;3,5;NA;NA
"69";69;NA;4;5;3,33;3,5;NA;NA
"70";70;NA;4;5;3,33;3,5;NA;NA
"71";71;NA;4;5;3,33;3,5;NA;NA
"72";72;NA;4;5;3,33;3,5;NA;NA
"73";73;2;4;5;3,33;3,5;NA;NA
"74";74;2;4;5;3,33;3,5;NA;NA
"75";75;2;4;5;3,33;3,5;NA;NA
"76";76;2;4;5;3,33;3,5;NA;NA
"77";77;2;4;5;3,33;3,5;NA;NA
"78";78;2;4;5;3,33;3,5;NA;NA
"79";79;2;4;5;3,33;3,5;NA;NA
"80";80;2;4;5;3,33;3,5;NA;NA
"81";81;2;4;5;3,33;3,5;NA;NA
"82";82;2;4;5;3,33;3,5;NA;NA
"83";83;2;4;5;3,33;3,5;NA;NA
"84";84;2;4;5;3,33;3,5;NA;NA
"85";85;2;4;5;3,33;3,5;NA;NA
"86";86;2;4;5;3,33;3,5;NA;NA
"87";87;2;4;5;3,33;3,5;NA;NA
"88";88;2;4;5;3,33;3,5;NA;NA
"89";89;2;4;5;3,33;3,5;NA;NA
"90";90;2;4;5;3,33;3,5;NA;NA
"91";91;2;4;5;3,33;3,5;NA;NA
"92";92;2;4;5;3,33;3,5;NA;NA
"93";93;2;4;5;3,33;3,5;NA;NA
"94";94;2;4;5;3,33;3,5;NA;NA
"95";95;2;4;5;3,33;3,5;NA;NA
"96";96;2;4;5;3,33;3,5;NA;NA
"97";97;2;4;5;3,33;3,5;NA;NA
"98";98;2;4;5;3,33;3,5;NA;NA
"99";99;2;4;5;3,33;3,5;NA;NA
"100";100;2;4;5;3,33;3,5;NA;NA
"101";101;2;4;5;3,33;3,5;4;NA
"102";102;2;4;5;3,33;3,5;4;NA
"103";103;2;4;5;3,33;3,5;4;NA
"104";104;2;4;5;3,33;3,5;4;NA
"105";105;2;4;5;3,33;3,5;4;NA
"106";106;2;4;5;3,33;3,5;4;NA
"107";107;2;4;5;3,33;3,5;4;NA
"108";108;2;4;5;3,33;3,5;4;NA
"109";109;2;4;4,5;3,33;3,5;4;NA
"110";110;2;4;4,5;3,33;3,5;4;NA
"111";111;2;4;4,5;3,33;3,5;4;NA
"112";112;2;4;4,5;3,33;3,5;4;NA
"113";113;2;4;4,5;3,33;3,5;3,5;NA
"114";114;2;4;4,5;3,33;3,5;3,5;NA
"115";115;2;4;4,5;3,33;3,5;3,5;NA
"116";116;2;4;4,5;3,33;3,5;3,5;NA
"117";117;2;4;4,5;3,33;3,5;3,5;NA
"118";118;2;4;4,5;3,33;3,5;3,5;NA
"119";119;2;4;4,5;3,33;3,5;3,5;NA
"120";120;2;4;4,5;3,33;3,5;3,5;NA
"121";121;2;4;4,5;3,33;3,5;3,5;NA
"122";122;2;4;4,5;3,33;3,5;3,5;NA
"123";123;2;4;4,5;3,33;3,5;3,5;NA
"124";124;2;4;4,5;3,33;3,5;3,5;NA
"125";125;2;4;4,5;3,33;3,5;3;NA
"126";126;2;4;4,5;3,33;3,5;3;NA
"127";127;2;4;4,5;3,33;3,5;3;NA
"128";128;2;4;4,5;3,33;3,5;3;NA
"129";129;2;4;4,5;3,33;3,5;3;NA
"130";130;2;4;4,5;3,33;3,5;3;NA
"131";131;2;4;4,5;3,33;3,5;3;NA
"132";132;2;4;4,5;3,33;3,5;3;NA
"133";133;2;4;4,5;3,33;3,67;3;NA
"134";134;2;4;4,5;3,33;3,75;3;NA
"135";135;2,33;4;4,5;3,33;3,75;3;NA
"136";136;2,33;4;4,5;3,33;3,75;3;NA
"137";137;2,33;4;4,5;3,33;3,75;3;NA
"138";138;2,33;4;4,5;3,33;3,75;3;NA
"139";139;2,33;4;4,5;3,33;3,75;3;NA
"140";140;2,33;4;4,5;3,33;3,75;3;NA
"141";141;2,33;4;4,5;3,33;3,75;3;NA
"142";142;2,33;4;4,5;3,33;3,75;3;NA
"143";143;2,33;4;4,5;3,33;3,75;3;NA
"144";144;2,33;4;4,5;3,33;3,75;3;NA
"145";145;2,33;4;4,5;3,33;3,75;3;NA
"146";146;2,33;4;4,5;3,5;3,75;3;NA
"147";147;2,33;4;4,5;3,5;3,75;3;NA
"148";148;2,33;4;4,5;3,5;3,75;3;NA
"149";149;2,33;4;4,5;3,5;3,75;3;NA
"150";150;2,33;4;4,5;3,5;3,75;3;NA
"151";151;2,33;4;4,5;3,5;3,75;3;NA
"152";152;2,33;4;4,5;3,5;3,75;3;NA
"153";153;2,33;4;4,5;3,5;3,75;3;NA
"154";154;2,33;4;4,5;3,5;3,75;3;NA
"155";155;2,33;4;4,6;3,5;3,75;3;NA
"156";156;2,33;4;4,6;3,5;3,8;3;NA
"157";157;2,33;4;4,6;3,5;3,8;3;NA
"158";158;2,33;4;4,6;3,5;3,8;3;NA
"159";159;2,33;4;4,6;3,5;3,8;3;NA
"160";160;2,33;4;4,6;3,5;3,8;3;NA
"161";161;2,33;4;4,6;3,5;3,8;3;NA
"162";162;2,33;4;4,6;3,5;3,8;3;NA
"163";163;2,33;4;4,6;3,5;3,8;3;NA
"164";164;2,33;4;4,6;3,5;3,8;3;NA
"165";165;2,33;4;4,6;3,8;3,8;3;NA
"166";166;2,33;4;4,67;3,8;3,8;3;NA
"167";167;2,33;4;4,67;3,8;3,8;3;NA
"168";168;2,33;4;4,67;3,8;3,8;3;NA
"169";169;2,33;4;4,67;3,8;3,8;3;NA
"170";170;2,33;4;4,67;3,8;3,8;3;NA
"171";171;2,33;4;4,67;3,8;3,8;3;NA
"172";172;2,75;4;4,67;3,8;3,8;3;NA
"173";173;2,75;4;4,71;3,8;3,8;3;NA
