,Fecha,Texto
0,2022-06-02T03:11:08.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
1,2022-06-02T03:03:49.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
2,2022-06-02T03:01:21.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
3,2022-06-02T03:01:18.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
4,2022-06-02T02:39:14.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
5,2022-06-02T02:37:52.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
6,2022-06-02T02:32:40.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
7,2022-06-02T02:11:59.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
8,2022-06-02T02:11:08.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
9,2022-06-02T01:58:07.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
10,2022-06-02T01:48:32.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
11,2022-06-02T01:39:16.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
12,2022-06-02T01:33:52.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
13,2022-06-02T01:30:23.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
14,2022-06-02T01:28:08.000Z,@Iberia @Repsol Hola @Iberia son 6 meses esperando una devolución de avios… no entiendo.. en verdad es tam complicado?
15,2022-06-02T01:25:50.000Z,@Oceana_Peru @Repsol @OEFAperu Sin embargo NINGUNA LAS PAGA! 🐀🐀
16,2022-06-02T01:25:43.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
17,2022-06-02T01:23:31.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
18,2022-06-02T01:20:53.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
19,2022-06-02T01:20:24.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
20,2022-06-02T01:09:33.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
21,2022-06-02T01:07:37.000Z,"#DerrameRepsol @OEFAperu impuso una nueva multa a @Repsol por 124.000 dólares por haber incumplido medidas administrativas dictadas tras el derrame de crudo ocurrido el 15 de enero pasado en el norte de Lima. 🧵
https://t.co/xH3O45P4y9"
22,2022-06-02T00:57:53.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
23,2022-06-02T00:14:26.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
24,2022-06-02T00:06:27.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
25,2022-06-01T23:49:56.000Z,RT @levirey: @WaykaPeru @Repsol 1/2 millón de SOLES es una vergüenza de multa para uno de los incumplimientos de esta empresa contaminadora…
26,2022-06-01T23:39:29.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
27,2022-06-01T23:35:11.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
28,2022-06-01T23:28:55.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
29,2022-06-01T23:26:05.000Z,RT @PaoDavite: @Iberia @Repsol A ver si en lugar de estrenar uniformes pagan lo que me deben desde hace ya 5 meses @Iberia #pésimoservicio…
30,2022-06-01T23:25:18.000Z,@Iberia @Repsol El maravillo servicio de atención al cliente. ⚠️NO LLAMÉIS A ESTE NÚMERO⚠️Os dejan en espera o te traspasan a departamentos que no pueden ayudarte y te dicen que vuelvas a llamar. Y así en bucle. https://t.co/MTIBaudyZg
31,2022-06-01T23:25:15.000Z,"@WaykaPeru @COLECTIVODIGNID @Repsol Apenas 124.000 dolarillos, una bicoca..!!"
32,2022-06-01T23:23:31.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
33,2022-06-01T23:23:24.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
34,2022-06-01T23:21:30.000Z,"RT @TalgoGroup: Construyendo futuros alternativos, paso a paso: así es como @TalgoGroup y @Repsol estamos desarrollando el primer tren dual…"
35,2022-06-01T23:19:54.000Z,"@Iberia @Repsol Hola Iberia,

Acabo de comprobar que me han cobrado 25 EUROS por las llamadas a vuestro número de atención al cliente incompetente. Me tuvisteis en espera más de 10’ en cada llamada que os hacía para que no me solucionéis nada. 

Sois unos estafadores."
36,2022-06-01T23:16:44.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
37,2022-06-01T23:14:21.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
38,2022-06-01T23:08:06.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
39,2022-06-01T23:06:17.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
40,2022-06-01T23:02:17.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
41,2022-06-01T23:01:31.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
42,2022-06-01T22:58:54.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
