,Fecha,Texto,code
0,2022-06-03T02:43:10.000Z,"@hanalfabeto Alguien invito a @Repsol ? No sabía,  creo que no",{}
1,2022-06-03T02:35:38.000Z,"@Iberia_en @Repsol I've flown Iberia between Madrid and various Italian cities. Always reliable. Glad my home airport, DFW, is included.",{}
2,2022-06-03T01:17:23.000Z,"RT @juaky78: @Repsol Ya lo hice, ésta fue vuestra respuesta. Si han tenido dificultades para repartir por mi zona y es el centro de Madrid…",{}
3,2022-06-03T01:16:29.000Z,"RT @joquedisgusto02: Hosti, @Repsol , que me contactan de la radio ¿Qué les digo? https://t.co/8Nj9K2ho3Y",{}
4,2022-06-03T01:14:35.000Z,"RT @joquedisgusto02: Sres. de @Repsol ¿Es normal que uno de vuestros distribuidores de Segovia no suministre el Butano contratado, pagado y…",{}
5,2022-06-03T00:58:35.000Z,"RT @Ruls: Os tendríais que hacer mirar con quién trabajáis, señoros de @Repsol .",{}
6,2022-06-03T00:29:33.000Z,Great watch on how @Repsol and @CiscoCX used Business Critical Services to help achieve their net-zero carbon emissions goal by 2050.  #CiscoCXDigital #CiscoCX #SUSTAINABILITY @CiscoGateway https://t.co/RqB69zP6tA,{}
7,2022-06-02T23:10:50.000Z,"RT @ALDAutomotivesp: Salida de la carrera paralela protagonizada por los patrocinadores del #ALDEcomotion22 #ALDEcomotion2022 

@Pirelli @R…",{}
8,2022-06-02T22:53:52.000Z,"RT @el_Jorda: ¿@Repsol vais a mover el camión o vais a dejar sin comer a los ancianos residentes?

No, es por saber si dedicaros todos mis…","{'code': 'ProductsServices', 'polarity': 'NONE'}"
9,2022-06-02T22:48:16.000Z,"RT @joquedisgusto02: Sres. de @Repsol ¿Es normal que uno de vuestros distribuidores de Segovia no suministre el Butano contratado, pagado y…",{}
10,2022-06-02T22:44:00.000Z,RT @24clm: Repsol invertirá 105 millones en una fábrica pionera de 'super polímero' en #Puertollano @Repsol @adolfomlo @isabelrguez @Migonz…,"{'code': 'Innovation', 'polarity': 'P'}"
11,2022-06-02T22:41:26.000Z,"RT @joquedisgusto02: Sres. de @Repsol ¿Es normal que uno de vuestros distribuidores de Segovia no suministre el Butano contratado, pagado y…",{}
